Name,Race,Role,Location,Affiliation,Description,Motivation,Mannerisms,Quote / Flavor,Status,Capabilities
Haneela d’Jorasco,Halfling,,"Aundair, Fairhaven",House Jorasco,,,,,Alive,
Kreelo,Changeling,Leader,"Aundair, Fairhaven",Dark Dagger Gang,,,,,Alive,
Castellan Addele Fulirno,Human,,"Aundair, Fairhaven",,,,,,Alive,
Augustus Wavesplit,Human,,"Aundair, Fairhaven",House Lyrandar,"Commanded an Aundairian naval fleet at age 28; slayed an enraged kraken without any magic, solely using tactics.",,,,Alive,
Mari Blackblade,Human,,"Aundair, Fairhaven",,,,,,Alive,
Miss Rebecca Allis,Human,"Caretaker, Maid","Aundair, Fairhaven",Royal Family,Corrine’s caretaker since birth,,,,Alive,
Dominique Black,Human,Leader,"Aundair, Fairhaven",Royal Eyes,Thuel Racannoch's youngest student before he passed.,,,,Alive,
Rodwick,Human,Soldier,"Aundair, Fairhaven","Crown Knights, Silver Flame","Although he wasn't knighted or trained properly, Rodwick was a well respected among his brethren. He used to be a mercenary who mostly operated north central of Khorvaire. Rodwick was taken into the church since he too had faith with the Silver Flame. The Crown Knights asked him many times to join them, yet he declined. He preferred to work for them under no flag or uniform, but eventually he joined as a instructor after his retirement.",,,,Alive,
“Corrine ir’Wynarn”,Inspired,,"Aundair, Fairhaven",Royal Family,https://neweberron.fandom.com/wiki/Corrine_ir%27Wyrnarn,,,,Alive,
Aurad ir'Wynarn,Human,Governor,"Aundair, Fairhaven",Royal Family,"The Queen of https://eberron.fandom.com/wiki/Aundair chief advisor, and the leader of her diplomatic corps. Aurad is the youngest brother of Queen https://eberron.fandom.com/wiki/Aurala_ir%27Wynarn and a member of the https://eberron.fandom.com/wiki/Aundairian_Royal_Family. Like Aurala, he is a politician instead of a warrior. His morals place him above intrigue and outside the grasp of corruption. The queen can rely upon him to render advice that holds at its foundation the best interests of Aundair and its ruler. He prefers peace, however, and this colors his counsel. He counts himself and Aundair lucky that his sister believes that the crown of Galifar must be acquired through strategies subtler than outright warfare. He is married to a woman named Wrenya and together they have five children, including an adolescent daughter named https://eberron.fandom.com/wiki/Austasia_ir%27Wynarn.","Moral, Peace",,,Alive,
Sasik d'Vadalis,Human,,"Aundair, Fairhaven","House Vadalis, Royal Family","Older brother to the current patriarch of https://eberron.fandom.com/wiki/House_Vadalis, Baron https://eberron.fandom.com/wiki/Dalin_d%27Vadalis, Sasik gave up his seat of power within the house when he chose to marry https://eberron.fandom.com/wiki/Aurala_ir%27Wynarn of https://eberron.fandom.com/wiki/Aundair. Despite this he remains a member of the family if not an official member of the house and he and his brother still share close, friendly ties. His remaining ties to the house make Vadalis competitors nervous about what advantages they might be gaining through Vadalis's dealings with Aundair.",,,,Alive,
Austasia ir'Wynarn,Human,Information broker,"Aundair, Fairhaven",Royal Family,"Austasia Ir'Wynarn is the adolescent daughter of https://eberron.fandom.com/wiki/Aurad_ir%27Wynarn and his wife Wrenya. She is also the niece of https://eberron.fandom.com/wiki/Queen_Aurala_ir%27Wynarn, and thus part of the https://eberron.fandom.com/wiki/Aundairian_Royal_Family. She has four siblings. Dreaming of becoming a great explorer, and encouraged by her rascally cousin Princess Corrine, Austasia runs away to pursue her dreams. She leaves https://eberron.fandom.com/wiki/Fairhold, possibly with Corrine, disguises herself and attempts to travel to https://eberron.fandom.com/wiki/Sharn. Austasia shows promise and may be hero material one day, but she's still too young and isn't ready.",Freedom,,,Alive,
Undon d'Kundarak,,"Son, Warder",M'ror Holds,Snorri d'Kundarak,"Bookwork, Ashamed of Father",,,,Alive,
Reibal d'Kundarak,,"Guard, Son",M'ror Holds,Snorri d'Kundarak,Rebellious teenage son.,,,,Alive,
Udaena Mroranon,,Wife,,Snorri d'Kundarak,,,,,Alive,
Jalira Stormtongue,Harpy,Lover,Graywall,"Flayer Guard, Snorri d'Kundarak",Member of the Flayer Guard in Graywall,,,,Alive,
Hurgela d’Doldarun,,Mother,Cyre,Snorri d'Kundarak,"Bookkeeper in Kundarrak Ward in Metrol, Cyre",,,,Deceased,
Raloug d’Kundarak,,Father,Cyre,Snorri d'Kundarak,Financial agent seeking investment,,,,Deceased,
Kalli Alran,Human,"Quest giver, Scavenger","Sanctuary, Talenta Plains",Ikar's Salvage,Female. Kalli is a brown-skinned Cyran human in her forties who was visiting Sharn on the Day of Mourning. She has a friendly personality and has made it a personal mission to recover artifacts from her homeland.,Loyalty,Always smiling :),"“No one lives forever, eh?”",Alive,
Brackle Blightwerth,Gnome,Dragon Prophet,"Sanctuary, Talenta Plains",,"Male. Dressed in a weathered, though oddly scholarly attire.",Knowledge,"Wanders in and out of town, making odd declarations about the world. No one knows much about him otherwise, and he doesn’t respond if spoken to directly.","""A dirty, old gnome wearing torn clothes climbs onto a table, and a hush falls over the rowdy tavern. Someone whispers, “Brackle’s gonna talk” in an awed tone.""",Alive,
Belaluur,Goblin,"Information broker, Salvage","Sanctuary, Talenta Plains",,Female. Missing an ear and wears a fine leather cloak. She is jovial by nature but is nevertheless a shrewd bargainer and ruthless operator.,"Greed, Wealth",Belaluur glances warily over her shoulder when she talks.,"“If I had a crown for every time someone said that to me, I’d be richer than the Queen of Aundair.”",Alive,
Solesia Daran,Wretchling,Priest,Following Party,Silver Flame,"Solesia, a wretchling, a humanoid tainted by the Mourning; born with a unnatural ability to channel divine energy, the child claimed to hear the voices of spirits; now, she is entirely unable to utter comprehensible speech.",,,,Alive,
Dalasskash'alyntar,Shulassakar,"Dragon Prophet, Priest",Following Party,Silver Flame,"Dalasskash'alyntar is a servant or bloodsworn shulassakar priestess who resides in Silver Light's Stead. Out of pity, she watched over four young children who were mutated into beings known as wretchlings by her corrupted kin, the yuan-ti. She feels pity for their situation, and evades the wrath of her former commander Sesstaria to protect these children from being destroyed as monsters. ""The Shadow in the Flame"" known as the ""Sykharn"" in Sarlona, worshipped by the yuan-ti (see Shrine of the Serpent, Faiths of Eberron). The bloodied writing was a death threat from worshippers of Syhkarn. Only Solessia has survived.",,,,Alive,
,,,,,,,,,,
Nob Guzzmasha,Goblin,Mechanic,Following Party,House Lyrandar,The ship's artificer and mechanic has been injected with a paralytic poison (Blue Whinnis); he too lies consciously suffering in his quarters.,,,,Alive,
Laila McKinnon d'Vadalis ,Human,Deck Hand,"Aundair, Fairhaven",House Vadalis,"Female monk. She has very long, blond mohawk and brown eyes. Sovereign Host ~ Arawei.",,,,Alive,
Roywin d'Garrik,Gnome,Wizard,Following Party,Power of Purity,"Wizard with elemental affinity, employed to control elementals.",,,,Alive,
Frazul d'Rilases,Gnome,Wizard,Following Party,"House Sivis, Power of Purity","Wizard with elemental affinity, employed to control elementals.",,,,Alive,
Connya Rhaegg,Half-elf,Deck Hand,Following Party,House Lyrandar,"(female, fighter) Long, wavy, auburn hair shaved on the right side and golden eyes.",,,,Alive,
Corporal Sigret Ashlen,Human,Deck Hand,Following Party,House Lyrandar,A silver-haired ambitious and studious soldier.,,,,Alive,
Ensign Siohbhan Mason,Human,,Not Applicable,House Lyrandar,"Junior officer of Aundair's Corps, assistant to Corbin Hayworth.",,,,Deceased,
Screw,Warforged,Guard,Following Party,House Lyrandar,Veteran of the Last War under the command of Rhysimor Maceck.,,,,Alive,
Lady Hana Aurora d'Cannith,Human,,"Cyre, Metrol",Cyran Avenger,"Minor scion, from the ruined city of Eston, will work with Rhysimor to excavate the remaining affixed conductor stones from the abandoned railway line to erect an arcanic defensive parameter (as necessary). Also imprisoned.",,,,Alive,
Pierce,Warforged,Guard,Following Party,House Lyrandar,Veteran of the Last War under the command of Rhysimor Maceck.,,,,Alive,
Rhysimor Maceck,Human,,"Cyre, Metrol",Cyran Avenger,"A Cyran battlefield commander, led his platoon on a scouting mission into a cliffside cave complex on the southern shore of Lake Cyre. The cataclysm collapsed the entry way and Rhysimor returned from the expedition as the sole-survivor. Accepted mercenary work (Breland, Thrane and now, Aundair). Imprisoned by the Warforged of the Vaults.",,,,Alive,
Sergeant Corbin Hayworth,Human,,Other plane,House Lyrandar,"Well-groomed, militaristic-looking man, he has a hard stare and cold demeanor",,,,Alive,
Lady Valeriya ir'Rurik,Human,,"Aundair, Stormhome","Cyran Avenger, Nobility","Last scion of the noble House of Rurik, a mage of Cyre (see profile)",,,,Alive,
Lhara Finewind d'Lyrandar,Half-elf,,Not Applicable,House Lyrandar,"Silver Dragon. A tall woman, seems to have a hint of elven blood (her eyes and ears), her coat is a long black-oil stained leather, with blue, silver trim coiling along the edges forming the tentacles of a Kraken. Offers to provide the equipment necessary for the expedition, as well as a specialized vessel, in exchange for finding her brother, Kymil.",,,,Deceased,
Rosebrix (Brix),Halfling,Agent,,"Royal Eyes, Syndra","Agent of the Royal Eyes, previous connect w/ Syndra.",,,,Alive,
Jurian ir'Wynarn,Human,,"Aundair, Fairhaven","Royal Eyes, Royal Family","Agent of the Royal Eyes, infected by mind seed, a type of symbiotic relationship with an Inspired contact",,,,Alive,
Lady Vidanya (Anya Lyre) Lorridan d'Sivis,Gnome,"Chronicler, Information broker","Aundair, Fairhaven",House Sivis,"As indicated by her name, Anya is the great-grand-daughter of Doyenne Lysse Lorridan d'Sivis, ruler of House Sivis's ruling council. Anya is a Chronicler, a journalist working specifically for the prestigious Korranberg Chronicle.",,,,Alive,
Tanila Robideur,Human,Researcher,"Arcanix, Aundair",Arcane Congress,"Tanila is the current head librarian of the Arcane Congress, whose library was founded by her great-great-great-great-great-great-great-great-grandfather and bears his name. Her main topic of research is pre-Galifaran thaumatology, and she is herself a talented arcanist with a focus on symbol- and glyph-related magic. She hasn't published any papers.",,,,,
Ulina Pyranim,Halfling,"Researcher, Student","Breland, Sharn",Morgrave University,"Ulina is a student at Morgrave University studying Ancient Giantish language and culture. She isn't particularly noteworthy, except that she's been constantly plastering ""looking for Xen'drik adventuring party"" notices in every tavern and guildhall in Sharn for years now, so she's become a running joke to the Watch who amuse themselves by reading over her latest postings whenever they crop up.",,,,,
Aldric d'Cannith,Human,Researcher,Metrol,House Cannith,"The 37-year-old arcanist is the nephew of famed artificer Aaren d'Cannith, the man who discovered how to grant sapience to warforged, and the second cousin of Baron Merrix d'Cannith. He has spent much of his time with the Twelve researching everything he can about warforged, making him a person of interest to the intelligence agencies of every nation of Khorvaire, since they all keep tabs on anyone who might be inclined to break the Treaty of Thronehold's prohibition on the creation of warforged either accidentally or intentionally.",,,,,"Aldric is a prodigy when it comes to crafting and using potions and wands, and was the youngest person chosen to head any branch of the Fabricators Guild since before the Last War. He studies arcane magic as well, specializing in spells for the creation, shaping, and animation of matter."
