Name,Affiliation,Capabilities,Description,Location,Mannerisms,Motivation,Quote / Flavor,Race,Role,Status
Kreelo,Dark Dagger Gang,,,"Aundair, Fairhaven",,,,Changeling,Leader,Alive
Haneela d’Jorasco,House Jorasco,,,"Aundair, Fairhaven",,,,Halfling,,Alive
Castellan Addele Fulirno,,,,"Aundair, Fairhaven",,,,Human,,Alive
Augustus Wavesplit,House Lyrandar,,"Commanded an Aundairian naval fleet at age 28; slayed an enraged kraken without any magic, solely using tactics.","Aundair, Fairhaven",,,,Human,,Alive
Miss Rebecca Allis,Royal Family,,Corrine’s caretaker since birth,"Aundair, Fairhaven",,,,Human,"Caretaker, Maid",Alive
Mari Blackblade,,,,"Aundair, Fairhaven",,,,Human,,Alive
Dominique Black,Royal Eyes,,Thuel Racannoch's youngest student before he passed.,"Aundair, Fairhaven",,,,Human,Leader,Alive
Rodwick,"Crown Knights, Silver Flame",,"Although he wasn't knighted or trained properly, Rodwick was a well respected among his brethren. He used to be a mercenary who mostly operated north central of Khorvaire. Rodwick was taken into the church since he too had faith with the Silver Flame. The Crown Knights asked him many times to join them, yet he declined. He preferred to work for them under no flag or uniform, but eventually he joined as a instructor after his retirement.","Aundair, Fairhaven",,,,Human,Soldier,Alive
“Corrine ir’Wynarn”,Royal Family,,https://neweberron.fandom.com/wiki/Corrine_ir%27Wyrnarn,"Aundair, Fairhaven",,,,Inspired,,Alive
Aurad ir'Wynarn,Royal Family,,"The Queen of https://eberron.fandom.com/wiki/Aundair chief advisor, and the leader of her diplomatic corps. Aurad is the youngest brother of Queen https://eberron.fandom.com/wiki/Aurala_ir%27Wynarn and a member of the https://eberron.fandom.com/wiki/Aundairian_Royal_Family. Like Aurala, he is a politician instead of a warrior. His morals place him above intrigue and outside the grasp of corruption. The queen can rely upon him to render advice that holds at its foundation the best interests of Aundair and its ruler. He prefers peace, however, and this colors his counsel. He counts himself and Aundair lucky that his sister believes that the crown of Galifar must be acquired through strategies subtler than outright warfare. He is married to a woman named Wrenya and together they have five children, including an adolescent daughter named https://eberron.fandom.com/wiki/Austasia_ir%27Wynarn.","Aundair, Fairhaven",,"Moral, Peace",,Human,Governor,Alive
Sasik d'Vadalis,"House Vadalis, Royal Family",,"Older brother to the current patriarch of https://eberron.fandom.com/wiki/House_Vadalis, Baron https://eberron.fandom.com/wiki/Dalin_d%27Vadalis, Sasik gave up his seat of power within the house when he chose to marry https://eberron.fandom.com/wiki/Aurala_ir%27Wynarn of https://eberron.fandom.com/wiki/Aundair. Despite this he remains a member of the family if not an official member of the house and he and his brother still share close, friendly ties. His remaining ties to the house make Vadalis competitors nervous about what advantages they might be gaining through Vadalis's dealings with Aundair.","Aundair, Fairhaven",,,,Human,,Alive
Austasia ir'Wynarn,Royal Family,,"Austasia Ir'Wynarn is the adolescent daughter of https://eberron.fandom.com/wiki/Aurad_ir%27Wynarn and his wife Wrenya. She is also the niece of https://eberron.fandom.com/wiki/Queen_Aurala_ir%27Wynarn, and thus part of the https://eberron.fandom.com/wiki/Aundairian_Royal_Family. She has four siblings. Dreaming of becoming a great explorer, and encouraged by her rascally cousin Princess Corrine, Austasia runs away to pursue her dreams. She leaves https://eberron.fandom.com/wiki/Fairhold, possibly with Corrine, disguises herself and attempts to travel to https://eberron.fandom.com/wiki/Sharn. Austasia shows promise and may be hero material one day, but she's still too young and isn't ready.","Aundair, Fairhaven",,Freedom,,Human,Information broker,Alive
Belaluur,,,Female. Missing an ear and wears a fine leather cloak. She is jovial by nature but is nevertheless a shrewd bargainer and ruthless operator.,"Sanctuary, Talenta Plains",Belaluur glances warily over her shoulder when she talks.,"Greed, Wealth","“If I had a crown for every time someone said that to me, I’d be richer than the Queen of Aundair.”",Goblin,"Information broker, Salvage",Alive
Brackle Blightwerth,,,"Male. Dressed in a weathered, though oddly scholarly attire.","Sanctuary, Talenta Plains","Wanders in and out of town, making odd declarations about the world. No one knows much about him otherwise, and he doesn’t respond if spoken to directly.",Knowledge,"""A dirty, old gnome wearing torn clothes climbs onto a table, and a hush falls over the rowdy tavern. Someone whispers, “Brackle’s gonna talk” in an awed tone.""",Gnome,Dragon Prophet,Alive
